,Title,Company,City,jobs,Salary_min,Salary_max,Salary_ave,Median
13,Research Analyst - Portuguese Speaking,Metrica Recruitment,Exeter,business+intelligence,33320.0,39650.799999999996,39650.799999999996,0
765,Intern - Performance & Business Intelligence,South Wales Police,Cardiff,business+intelligence,23147.879999999997,27545.977199999994,27545.977199999994,0
769,Business Intelligence Developer,Avon and Somerset Constabulary,Cardiff,business+intelligence,40005.42,47606.449799999995,47606.449799999995,0
780,Business Analyst,LookAfterMyBills,Cardiff,business+intelligence,47600.0,56644.0,56644.0,1
782,Intern - Data Science,South Wales Police,Cardiff,business+intelligence,23147.879999999997,27545.977199999994,27545.977199999994,0
784,Data Analyst,Melin Homes,Cardiff,business+intelligence,34719.439999999995,41316.133599999994,41316.133599999994,0
797,Business Support Analyst (Graduate),BCA,Cardiff,business+intelligence,29750.0,35402.5,35402.5,0
799,COVID-19 Infection Survey Lead Data Processing Engineer,UK Government - Office for National Statistics,Cardiff,business+intelligence,58429.0,69530.51,69530.51,1
820,BI Analyst,Acorn Recruitment Limited,Cardiff,business+intelligence,29750.0,35402.5,35402.5,0
834,Lecturer in Artificial Intelligence and Big Data Analytics,University of Bristol,Cardiff,business+intelligence,45240.229999999996,53835.87369999999,53835.87369999999,1
1523,Junior Business Intelligence Analyst,Client Server,Cambridge,business+intelligence,35700.0,42483.0,42483.0,0
1525,Senior Workforce Intelligence Analyst,Cambridge University Hospitals NHS Foundation Trus...,Cambridge,business+intelligence,46279.1,55072.12899999999,55072.12899999999,1
1526,Defence Intelligence - Defence Open Source Intelligence Cent...,UK Government - Ministry of Defence,Cambridge,business+intelligence,47600.0,56644.0,56644.0,1
1527,Business Intelligence Analyst,Harnham,Cambridge,business+intelligence,47600.0,56644.0,56644.0,1
1529,Data Analyst,Nemo Resourcing Limited,Cambridge,business+intelligence,47600.0,56644.0,56644.0,1
1535,ERSOU/ROCU - TOEX/Staff - SO1/SO2 - Data Analyst - (Fixed Te...,Cambridgeshire Constabulary,Cambridge,business+intelligence,37752.75,44925.7725,44925.7725,0
1553,Business Intelligence Analyst,Dynamic Planner,Cambridge,business+intelligence,38080.0,45315.2,45315.2,0
1567,Machine Learning/AI Engineer (Medical Imaging/Pytorch),Ernest Gordon Recruitment Limited,Cambridge,business+intelligence,83300.0,99127.0,99127.0,1
1570,Reporting Analyst / Junior BI - Excel SQL,Client Server,Cambridge,business+intelligence,35700.0,42483.0,42483.0,0
1578,BI Analyst Excel SQL PowerBI,Client Server,Cambridge,business+intelligence,35700.0,42483.0,42483.0,0
1595,Junior BI Analyst Excel SQL - Cybersecurity,Client Server,Cambridge,business+intelligence,35700.0,42483.0,42483.0,0
1639,Data Analyst - Health Sector,ECM Selection,Cambridge,business+intelligence,59500.0,70805.0,70805.0,1
2003,Machine Learning/AI Engineer (Medical Imaging/Pytorch),Ernest Gordon Recruitment Limited,Cambridge,business+intelligence,83300.0,99127.0,99127.0,1
2004,Graduate Machine Learning/AI Engineer (Medical Image/Pytorch...,Ernest Gordon Recruitment Limited,Cambridge,business+intelligence,59500.0,70805.0,70805.0,1
2282,Business Intelligence Manager,Dignity Funerals,Birmingham,business+intelligence,71400.0,84966.0,84966.0,1
2284,Intelligence Officer,Birmingham Children’s Trust,Birmingham,business+intelligence,33011.79,39284.030099999996,39284.030099999996,0
2285,Business Intelligence Analyst,Dignity Funerals,Birmingham,business+intelligence,47600.0,56644.0,56644.0,1
2286,Head of Workforce Planning & Intelligence - Midlands,Health Education England,Birmingham,business+intelligence,90337.65999999999,107501.81539999998,107501.81539999998,1
2305,Business Intelligence Developer (Fully Remote UK Working),Michael Page UK,Birmingham,business+intelligence,41650.0,49563.5,49563.5,1
2308,Business Intelligence Analyst,Meridian,Birmingham,business+intelligence,35700.0,42483.0,42483.0,0
2314,Business Intelligence Analyst,Malling Health (UK),Birmingham,business+intelligence,41650.0,49563.5,49563.5,1
2317,Senior Business Analyst,Purplebricks,Birmingham,business+intelligence,47600.0,56644.0,56644.0,1
2328,Market Intelligence Manager,University of Wolverhampton,Birmingham,business+intelligence,42654.36,50758.6884,50758.6884,1
2355,SOC Analyst (Tier 2),Jaguar Land Rover,Birmingham,business+intelligence,59500.0,70805.0,70805.0,1
