,Title,Location,Company,Salary
0,Data Scientist,New York State•Remote,AbleTo,
1,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
2,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
3,Data Scientist - Fraud,"Columbus, NY",Klarna,
4,Data Scientist,"New York, NY",Amex,
5,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
6,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
7,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
8,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
9,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
10,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
11,Data Scientist,"Corning, NY 14831",Corning,
12,newData Scientist,"New York, NY",BNY Mellon,
13,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
14,Data Scientist (Personalization),"New York, NY",The New York Times,
15,Data Scientist,New York State•Remote,AbleTo,
16,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
17,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
18,Data Scientist - Fraud,"Columbus, NY",Klarna,
19,Data Scientist,"New York, NY",Amex,
20,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
21,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
22,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
23,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
24,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
25,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
26,Data Scientist,"Corning, NY 14831",Corning,
27,newData Scientist,"New York, NY",BNY Mellon,
28,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
29,Data Scientist (Personalization),"New York, NY",The New York Times,
30,Data Scientist,New York State•Remote,AbleTo,
31,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
32,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
33,Data Scientist - Fraud,"Columbus, NY",Klarna,
34,Data Scientist,"New York, NY",Amex,
35,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
36,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
37,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
38,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
39,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
40,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
41,Data Scientist,"Corning, NY 14831",Corning,
42,newData Scientist,"New York, NY",BNY Mellon,
43,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
44,Data Scientist (Personalization),"New York, NY",The New York Times,
45,Data Scientist,New York State•Remote,AbleTo,
46,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
47,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
48,Data Scientist - Fraud,"Columbus, NY",Klarna,
49,Data Scientist,"New York, NY",Amex,
50,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
51,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
52,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
53,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
54,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
55,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
56,Data Scientist,"Corning, NY 14831",Corning,
57,newData Scientist,"New York, NY",BNY Mellon,
58,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
