,Title,Location,Company,Salary
0,Data Scientist,"Nanuet, NY+1 location",Alldus,
1,Data Scientist,"New York, NY 10036",Pluto TV,
2,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
3,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
4,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
5,Analyst-Data Science,"New York, NY",Amex,
6,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
7,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
8,Data Scientist,"Corning, NY 14831",Corning,
9,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
10,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
11,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
12,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
13,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
14,newESG Data Scientist,"New York, NY",MSCI Inc,
15,Data Scientist,"Nanuet, NY+1 location",Alldus,
16,Data Scientist,"New York, NY 10036",Pluto TV,
17,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
18,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
19,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
20,Analyst-Data Science,"New York, NY",Amex,
21,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
22,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
23,Data Scientist,"Corning, NY 14831",Corning,
24,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
25,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
26,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
27,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
28,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
29,newESG Data Scientist,"New York, NY",MSCI Inc,
30,Data Scientist,"Nanuet, NY+1 location",Alldus,
31,Data Scientist,"New York, NY 10036",Pluto TV,
32,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
33,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
34,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
35,Analyst-Data Science,"New York, NY",Amex,
36,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
37,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
38,Data Scientist,"Corning, NY 14831",Corning,
39,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
40,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
41,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
42,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
43,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
44,newESG Data Scientist,"New York, NY",MSCI Inc,
45,Data Scientist,"Nanuet, NY+1 location",Alldus,
46,Data Scientist,"New York, NY 10036",Pluto TV,
47,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
48,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
49,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
50,Analyst-Data Science,"New York, NY",Amex,
51,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
52,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
53,Data Scientist,"Corning, NY 14831",Corning,
54,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
55,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
56,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
57,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
58,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
59,newESG Data Scientist,"New York, NY",MSCI Inc,
60,Data Scientist,"Nanuet, NY+1 location",Alldus,
61,Data Scientist,"New York, NY 10036",Pluto TV,
62,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
63,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
64,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
65,Analyst-Data Science,"New York, NY",Amex,
66,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
67,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
68,Data Scientist,"Corning, NY 14831",Corning,
69,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
70,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
